name/address,neighborhood,price,phone number,link
"Buttonwood St #1, Boston, 02125","Columbia Point , Boston","$1,700",none,https://www.zumper.com/apartments-for-rent/2478405p/1-bedroom-columbia-point-boston-ma
"Garrison St #5A, Boston, 02116","Back Bay , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/9578466p/1-bedroom-back-bay-boston-ma
"Charter St #2, Boston, 02113","North End , Boston","$1,600",none,https://www.zumper.com/apartments-for-rent/2058217p/1-bedroom-north-end-boston-ma
"Cottage St #1, Boston, 02128","Jeffries Point - Airport , Boston","$1,100",none,https://www.zumper.com/apartments-for-rent/9487448p/1-bedroom-jeffries-point-airport-boston-ma
"35 Glencoe St #43, Boston, 02135","Oak Square , Boston","$1,950",none,https://www.zumper.com/apartments-for-rent/9578429p/1-bedroom-oak-square-boston-ma
Parker Hill,"Mission Hill , Boston","$1,850",tel:6175009517,https://www.zumper.com/apartment-buildings/958576/parker-hill-mission-hill-boston-ma
"S Huntington Ave #4, Boston, 02130","Mission Hill , Boston","$1,850",none,https://www.zumper.com/apartments-for-rent/3260488p/1-bedroom-mission-hill-boston-ma
"360 Market St #B4, Boston, 02135","Oak Square , Boston","$1,550",none,https://www.zumper.com/apartments-for-rent/1106006p/1-bedroom-oak-square-boston-ma
Metro Mark,"Jamaica Central - South Sumner , Boston","$1,858+",tel:8572421763,https://www.zumper.com/apartment-buildings/709499/metro-mark-jamaica-central-south-sumner-boston-ma
"38 Charles Street, Boston, 02114","Beacon Hill , Boston","$1,775",none,https://www.zumper.com/apartments-for-rent/1375715p/1-bedroom-beacon-hill-boston-ma
"99 Charles Street #4, Boston, 02114","Beacon Hill , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/9515986p/1-bedroom-beacon-hill-boston-ma
"Kilmarnock St & Queensberry St #12A, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,975",none,https://www.zumper.com/apartments-for-rent/2928082p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Queensberry St & Jersey St #6, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/1107354p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Kilmarnock St & Queensberry St #C, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,725",none,https://www.zumper.com/apartments-for-rent/1939256p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Queensberry St & Jersey St #A, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,675",none,https://www.zumper.com/apartments-for-rent/1271019p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"Queensberry St & Jersey St #4, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/2829716p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"16 Commonwealth Avenue #9, Boston, 02116","Back Bay , Boston","$1,800",none,https://www.zumper.com/apartments-for-rent/1983846p/1-bedroom-back-bay-boston-ma
"55 Burbank Street #10, Boston, 02115","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,425",none,https://www.zumper.com/apartments-for-rent/2105842p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"55 Burbank Street #222, Boston, 02115","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,425",none,https://www.zumper.com/apartments-for-rent/1861778p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
735 Truman,"Stony Brook - Cleary Square , Boston","$1,999",tel:8572678894,https://www.zumper.com/apartment-buildings/p357047/735-truman-stony-brook-cleary-square-boston-ma
"104 Queensberry St, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,425",none,https://www.zumper.com/apartments-for-rent/9577653p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"10 Jamaicaway, Boston, 02130","Mission Hill , Boston","$1,900",none,https://www.zumper.com/apartments-for-rent/757720p/1-bedroom-mission-hill-boston-ma
"86 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,610",none,https://www.zumper.com/apartments-for-rent/9577592p/1-bedroom-brook-farm-boston-ma
"28 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,680",none,https://www.zumper.com/apartments-for-rent/1276473p/1-bedroom-brook-farm-boston-ma
"208 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,880",none,https://www.zumper.com/apartments-for-rent/1290270p/1-bedroom-brook-farm-boston-ma
"40 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,685",none,https://www.zumper.com/apartments-for-rent/9577590p/1-bedroom-brook-farm-boston-ma
"24 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,485",none,https://www.zumper.com/apartments-for-rent/9577589p/1-bedroom-brook-farm-boston-ma
"227 Independence Dr, Boston, 02467","Brook Farm , Boston","$1,980",none,https://www.zumper.com/apartments-for-rent/9577588p/1-bedroom-brook-farm-boston-ma
"118 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,660",none,https://www.zumper.com/apartments-for-rent/9577585p/1-bedroom-brook-farm-boston-ma
"80 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,505",none,https://www.zumper.com/apartments-for-rent/9577586p/1-bedroom-brook-farm-boston-ma
"235 Independence Dr, Boston, 02467","Brook Farm , Boston","$1,875",none,https://www.zumper.com/apartments-for-rent/8388824p/1-bedroom-brook-farm-boston-ma
"92 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,425",none,https://www.zumper.com/apartments-for-rent/9577579p/1-bedroom-brook-farm-boston-ma
"96 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,725",none,https://www.zumper.com/apartments-for-rent/9577556p/1-bedroom-brook-farm-boston-ma
"32 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,990",none,https://www.zumper.com/apartments-for-rent/5874764p/1-bedroom-brook-farm-boston-ma
"233 Independence Dr, Boston, 02467","Brook Farm , Boston","$1,575",none,https://www.zumper.com/apartments-for-rent/9577493p/1-bedroom-brook-farm-boston-ma
"241 Independence Dr, Boston, 02467","Brook Farm , Boston","$1,920",none,https://www.zumper.com/apartments-for-rent/3305122p/1-bedroom-brook-farm-boston-ma
"225 Independence Dr, Boston, 02467","Brook Farm , Boston","$1,640",none,https://www.zumper.com/apartments-for-rent/9577490p/1-bedroom-brook-farm-boston-ma
"551 Vfw Pkwy, Boston, 02467","Brook Farm , Boston","$1,875",none,https://www.zumper.com/apartments-for-rent/3460547p/1-bedroom-brook-farm-boston-ma
"529 Vfw Pkwy, Boston, 02467","Brook Farm , Boston","$1,910",none,https://www.zumper.com/apartments-for-rent/3462509p/1-bedroom-brook-farm-boston-ma
"537 Vfw Pkwy, Boston, 02467","Brook Farm , Boston","$1,660",none,https://www.zumper.com/apartments-for-rent/4100191p/1-bedroom-brook-farm-boston-ma
"39 Sherman St, Boston, 02129","Medford Street - The Neck , Boston","$1,820",none,https://www.zumper.com/apartments-for-rent/9577473p/1-bedroom-medford-street-the-neck-boston-ma
"158 Sherman Rd, Boston, 02467","Brook Farm , Boston","$1,805",none,https://www.zumper.com/apartments-for-rent/3371810p/1-bedroom-brook-farm-boston-ma
"221 Independence Dr, Boston, 02467","Brook Farm , Boston","$1,520",none,https://www.zumper.com/apartments-for-rent/9577460p/1-bedroom-brook-farm-boston-ma
"1758 Commonwealth Ave, Boston, 02135","Commonwealth , Boston","$1,650",none,https://www.zumper.com/apartments-for-rent/102367p/1-bedroom-commonwealth-boston-ma
"258 Lexington St #1, Boston, 02128","Eagle Hill , Boston","$1,700",none,https://www.zumper.com/apartments-for-rent/5743935p/1-bedroom-eagle-hill-boston-ma
1140 River St,"Stony Brook - Cleary Square , Boston","$1,650",none,https://www.zumper.com/apartment-buildings/p96058/1140-river-st-stony-brook-cleary-square-boston-ma
Huntington Apartments,"Mission Hill , Boston","$1,950",tel:6178557014,https://www.zumper.com/apartment-buildings/726128/huntington-apartments-mission-hill-boston-ma
"15 Bay State Road #3, Boston, 02215","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$1,500",none,https://www.zumper.com/apartments-for-rent/2163369p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
"106 13th Street, Boston, 02129","Thompson Square - Bunker Hill , Boston","$1,850",none,https://www.zumper.com/apartments-for-rent/5755132p/1-bedroom-thompson-square-bunker-hill-boston-ma
"64 Hemenway Street #24, Boston, 02115","Fenway - Kenmore - Audubon Circle - Longwood , Boston","$2,000",none,https://www.zumper.com/apartments-for-rent/263725p/1-bedroom-fenway-kenmore-audubon-circle-longwood-boston-ma
